skill_raw,skill_norm,course_count,domain,domain_confidence,domain_category_count,is_generic,aliases,example_courses
photoshop,photoshop,2,Graphic Design,1.0,1,0,"photoshop, فوتوشوب",Photoshop Tools and Layers; Advanced Photoshop Shapes and Tools
platforms,platforms,2,General,0.5,2,0,platforms,Social Media Marketing Basics; Digital Marketing Advanced Marketing Strategies
presentation skills,presentation skills,2,Personal Development,0.5,2,1,presentation skills,Presentation Skills And Public Speaking; Presentation Skills Basics
procedures,procedures,2,Business Fundamentals,0.5,2,0,procedures,Office Filling; Be a MYSQL Hero
refine,refine,2,Graphic Design,0.5,2,0,refine,Be an Autocad Artist Autocad Drawing 2; PowerPoint Beginnings
remote,remote,2,Career Development,0.5,2,0,remote,Working Remotely; Managing Remote Teams
responsibility,responsibility,2,Ethics and Social Responsibility,0.5,2,0,responsibility,Accountability; Corporate Social Responsibility (CSR) Principles
responsibility csr,responsibility csr,2,General,1.0,1,0,responsibility csr,Corporate Social Responsibility (CSR) Principles; Supply Chain Sustainability and CSR
risks,risks,2,General,1.0,1,0,risks,Cybersecurity Essentials; Risk Management in Supply Chain
setting,setting,2,Career Development,0.5,2,0,setting,Art of Coaching; Setting SMART Objectives and Planning
shapes,shapes,2,Graphic Design,1.0,1,0,shapes,Advanced Photoshop Shapes and Tools; Adobe Illustrator Advanced Techniques
site,site,2,Web Development,0.5,2,0,site,WordPress Plugins; Revit 2020Lasting Buildings
social responsibility csr,social responsibility csr,2,General,1.0,1,0,social responsibility csr,Corporate Social Responsibility (CSR) Principles; Supply Chain Sustainability and CSR
sql,sql,2,Data Security,0.5,2,0,"sql, اس كيو ال",Python Database; PHP 2020 Database
strings,strings,2,Programming,1.0,1,0,strings,Python Oriented Programming OOP; Advanced PHP 2020
studio,studio,2,Programming,1.0,1,0,studio,Android Studio 2017 Essentials; Practice Android Studio 2017
styles,styles,2,Graphic Design,0.5,2,0,styles,Practice your Autocad Skills; CSS Basics
sustainable,sustainable,2,Banking Skills,0.5,2,0,sustainable,Sustainability in Banking Sector; Sustainable Development Goals
system,system,2,Technology Applications,1.0,1,0,system,Get Closer to your Windows 10 Computer; Make a Deep Friendship with your Windows 10 Computer
tables,tables,2,Technology Applications,0.5,2,0,tables,Access 2019 Essentials; Excel Essential Training
teams,teams,2,Leadership & Management,0.5,2,0,teams,Managing Remote Teams; Lead Your Company to Winning
technologies,technologies,2,General,1.0,1,0,technologies,Digital Transformation in Supply Chain; Fundamentals of renewable energy
text,text,2,Graphic Design,1.0,1,0,text,Revit 2020 Intelligible Projects; Practice your Autocad Skills
types,types,2,Networking,0.5,2,0,types,Introduction to Networks 1; Excel Formulas and Functions
unity,unity,2,Game Design,1.0,1,0,unity,Essential Unity Controls 1; Unity Basics
up,up,2,Programming,0.5,2,1,up,PHP 2020 Basics; Introduction to Digital Transformation
variables,variables,2,Programming,0.5,2,0,variables,Visual Basic Modeling Process; How to Start your Advanced Level in Animate 2019
ve,ve,2,Web Development,0.5,2,1,ve,WordPress Plugins; How To Pass An Interview
web development,web development,2,Programming,1.0,1,1,web development,JavaScript Basics; PHP 2020 OOP
web programming,web programming,2,Programming,1.0,1,1,web programming,Visual Basic Advanced Custom Controls; Python Web Programming
website,website,2,Web Development,1.0,1,0,website,Build a Stronger WordPress Website; WordPress Earn from What you Learn
